"LME","Mean","SD"
"Baltic Sea","-1.1","2.36"
"Sea of Okhotsk","-0.23","3.04"
"North Sea","-0.58","2.69"
"Gulf of Alaska","-0.86","3.58"
"Labrador - Newfoundland","-1.87","5.01"
"Celtic-Biscay Shelf","-0.49","1.31"
"Sea of Japan","-0.87","1.45"
"Oyashio Current","-1.11","3.04"
"Scotian Shelf","-0.12","1.89"
"California Current","-0.12","0.91"
"Northeast U.S. Continental Shelf","-0.78","2.15"
"Mediterranean Sea","-0.4","1.15"
"Iberian Coastal","0.05","0.56"
"Kuroshio Current","-0.76","5.44"
"Yellow Sea","0.03","1.7"
"Canary Current","0.11","1.97"
"East China Sea","-1.25","3.61"
"Southeast U.S. Continental Shelf","-1.31","7.64"
"Gulf of California","-0.99","1.04"
"Gulf of Mexico","-0.95","3.45"
"Arabian Sea","-0.64","1.71"
"Red Sea","-0.76","0.69"
"Insular Pacific-Hawaiian","0.1","0.61"
"Caribbean Sea","-0.25","4.31"
"South China Sea","-1.55","3.78"
"Bay of Bengal","-0.71","2.26"
"Pacific Central-American Coastal","-0.91","2.22"
"Sulu-Celebes Sea","-3.18","5.06"
"Gulf of Thailand","1.03","2.87"
"North Brazil Shelf","-6.84","7.79"
"Guinea Current","-0.35","1.64"
"Somali Coastal Current","-3.52","4.1"
"Indonesian Sea","-1.25","3.32"
"East Brazil Shelf","-1.22","2.98"
"Humboldt Current","-0.51","2.15"
"Benguela Current","0.98","3.34"
"North Australian Shelf","-0.24","1.09"
"Northeast Australian Shelf","0.49","3.35"
"Agulhas Current","-2.59","5.38"
"Northwest Australian Shelf","-0.71","0.93"
"East Central Australian Shelf","-2.23","4.39"
"South Brazil Shelf","-3.6","3.28"
"New Zealand Shelf","-0.48","1.44"
"Patagonian Shelf","-0.17","2.99"
"Southeast Australian Shelf","-0.67","2.23"
"Antarctica","0.75","12.87"
"South West Australian Shelf","-0.52","1.19"
"West Central Australian Shelf","-0.38","1.41"
"Faroe Plateau","-0.55","2.63"
"Iceland Shelf and Sea","-0.78","2.68"
"Greenland Sea","1.95","11.07"
"Norwegian Sea","-1.18","4.99"
"Barents Sea","-0.29","11.99"
"Kara Sea","-2.28","7.9"
"Laptev Sea","-1.65","6.43"
"East Siberian Sea","1.79","6.26"
"West Bering Sea","-1.67","3.3"
"Aleutian Islands","1.04","1.71"
"East Bering Sea","-0.05","2.1"
"Canadian Eastern Arctic - West Greenland","3.28","17.43"
"Hudson Bay Complex","3.25","16.12"
"Beaufort Sea","-0.57","7.48"
"Northern Bering - Chukchi Seas","0.13","4.42"
