"LME","Mean","SD"
"Baltic Sea","-2.78","5.58"
"Sea of Okhotsk","-0.25","8.34"
"North Sea","-1.12","7.47"
"Gulf of Alaska","-1.15","10.28"
"Labrador - Newfoundland","-4.33","13.72"
"Celtic-Biscay Shelf","-1.36","3.79"
"Sea of Japan","-2.37","4.59"
"Oyashio Current","-2.81","9.67"
"Scotian Shelf","0.12","7.01"
"California Current","-0.36","3.32"
"Northeast U.S. Continental Shelf","-1.98","6.82"
"Mediterranean Sea","-1.1","4.31"
"Iberian Coastal","0.15","1.72"
"Kuroshio Current","1.58","17.57"
"Yellow Sea","0.58","6.15"
"Canary Current","1.02","8.23"
"East China Sea","-1.97","13.13"
"Southeast U.S. Continental Shelf","4.27","30.17"
"Gulf of California","-3.01","3.21"
"Gulf of Mexico","-1.94","11.2"
"Arabian Sea","-1.75","5.24"
"Red Sea","-2.49","2.31"
"Insular Pacific-Hawaiian","0.48","2.36"
"Caribbean Sea","3.38","28.02"
"South China Sea","-3.15","11.47"
"Bay of Bengal","-1.6","7.83"
"Pacific Central-American Coastal","-2.47","6.6"
"Sulu-Celebes Sea","-6.35","24.07"
"Gulf of Thailand","5.38","15.52"
"North Brazil Shelf","-14.81","17.7"
"Guinea Current","-0.72","5.33"
"Somali Coastal Current","-9.05","11.95"
"Indonesian Sea","-2.98","9.81"
"East Brazil Shelf","-3.28","10.8"
"Humboldt Current","-1.38","6.46"
"Benguela Current","5.33","14.23"
"North Australian Shelf","-0.64","3.91"
"Northeast Australian Shelf","4.57","19.27"
"Agulhas Current","-6.08","15.75"
"Northwest Australian Shelf","-2.26","3.23"
"East Central Australian Shelf","-4.6","14.43"
"South Brazil Shelf","-9.75","8.24"
"New Zealand Shelf","-1.33","4.55"
"Patagonian Shelf","-0.25","9.41"
"Southeast Australian Shelf","-1.6","6.66"
"Antarctica","19","145.79"
"South West Australian Shelf","-1.57","4.21"
"West Central Australian Shelf","-0.8","5.63"
"Faroe Plateau","-0.99","5.73"
"Iceland Shelf and Sea","-1.55","5.54"
"Greenland Sea","3.5","18.41"
"Norwegian Sea","-2.34","9.02"
"Barents Sea","-0.66","17.34"
"Kara Sea","-3.22","11.96"
"Laptev Sea","-1.8","11.5"
"East Siberian Sea","2.97","9.81"
"West Bering Sea","-3.77","8.01"
"Aleutian Islands","3.57","5.74"
"East Bering Sea","0.05","5.87"
"Canadian Eastern Arctic - West Greenland","6.92","30.53"
"Hudson Bay Complex","8.34","37.01"
"Beaufort Sea","-0.95","12.31"
"Northern Bering - Chukchi Seas","-0.11","8.37"
