"LME","MeanTotalEggChange","MeanPercentageEggChange","MeanTotalFishChange","MeanPercentageFishChange"
"Agulhas Current","-5e-07 (2.5e-06)","-6.08 (15.75)","-0.031 (0.168)","-2.59 (5.38)"
"Aleutian Islands","4e-07 (7e-07)","3.57 (5.74)","0.047 (0.086)","1.04 (1.71)"
"Antarctica","0e+00 (0e+00)","19 (145.79)","0 (0.005)","0.75 (12.87)"
"Arabian Sea","-4e-07 (1.4e-06)","-1.75 (5.24)","-0.019 (0.052)","-0.64 (1.71)"
"Baltic Sea","-9e-07 (2.4e-06)","-2.78 (5.58)","-0.268 (0.488)","-1.1 (2.36)"
"Barents Sea","-1e-07 (4e-07)","-0.66 (17.34)","-0.033 (0.135)","-0.29 (11.99)"
"Bay of Bengal","-4e-07 (1.7e-06)","-1.6 (7.83)","-0.012 (0.039)","-0.71 (2.26)"
"Beaufort Sea","0e+00 (0e+00)","-0.95 (12.31)","-0.007 (0.034)","-0.57 (7.48)"
"Benguela Current","-9e-07 (1.27e-05)","5.33 (14.23)","-0.124 (0.719)","0.98 (3.34)"
"California Current","0e+00 (8e-07)","-0.36 (3.32)","-0.003 (0.058)","-0.12 (0.91)"
"Canadian Eastern Arctic - West Greenland","0e+00 (2e-07)","6.92 (30.53)","-0.011 (0.076)","3.28 (17.43)"
"Canary Current","-5e-07 (6.1e-06)","1.02 (8.23)","-0.041 (0.261)","0.11 (1.97)"
"Caribbean Sea","-1e-07 (2.4e-06)","3.38 (28.02)","-0.011 (0.066)","-0.25 (4.31)"
"Celtic-Biscay Shelf","-5e-07 (2.1e-06)","-1.36 (3.79)","-0.054 (0.163)","-0.49 (1.31)"
"East Bering Sea","-1e-07 (9e-07)","0.05 (5.87)","-0.018 (0.135)","-0.05 (2.1)"
"East Brazil Shelf","-5e-07 (2.4e-06)","-3.28 (10.8)","-0.017 (0.086)","-1.22 (2.98)"
"East Central Australian Shelf","-4e-07 (1e-06)","-4.6 (14.43)","-0.019 (0.035)","-2.23 (4.39)"
"East China Sea","-1.2e-06 (5.8e-06)","-1.97 (13.13)","-0.06 (0.238)","-1.25 (3.61)"
