"LME","MeanDifferenceEggs","SDDifferenceEggs","MeanPCEggs","SDPCEggs","MeanDifferenceFish","SDDifferenceFish","MeanPCFish","SDPCFish"
"Agulhas Current","-5e-07","2.5e-06","-6.08","15.75","-0.03084","0.16827","-2.59","5.38"
"Aleutian Islands","4e-07","7e-07","3.57","5.74","0.04687","0.08597","1.04","1.71"
"Antarctica","0e+00","0e+00","19","145.79","-0.0004","0.00523","0.75","12.87"
"Arabian Sea","-4e-07","1.4e-06","-1.75","5.24","-0.0187","0.05214","-0.64","1.71"
"Baltic Sea","-9e-07","2.4e-06","-2.78","5.58","-0.26803","0.48799","-1.1","2.36"
"Barents Sea","-1e-07","4e-07","-0.66","17.34","-0.03282","0.1349","-0.29","11.99"
"Bay of Bengal","-4e-07","1.7e-06","-1.6","7.83","-0.01173","0.03909","-0.71","2.26"
"Beaufort Sea","0e+00","0e+00","-0.95","12.31","-0.0073","0.03426","-0.57","7.48"
"Benguela Current","-9e-07","1.27e-05","5.33","14.23","-0.12392","0.719","0.98","3.34"
"California Current","0e+00","8e-07","-0.36","3.32","-0.00261","0.05758","-0.12","0.91"
"Canadian Eastern Arctic - West Greenland","0e+00","2e-07","6.92","30.53","-0.01139","0.07591","3.28","17.43"
"Canary Current","-5e-07","6.1e-06","1.02","8.23","-0.04136","0.26081","0.11","1.97"
"Caribbean Sea","-1e-07","2.4e-06","3.38","28.02","-0.01072","0.06561","-0.25","4.31"
"Celtic-Biscay Shelf","-5e-07","2.1e-06","-1.36","3.79","-0.0544","0.16337","-0.49","1.31"
"East Bering Sea","-1e-07","9e-07","0.05","5.87","-0.01828","0.1348","-0.05","2.1"
"East Brazil Shelf","-5e-07","2.4e-06","-3.28","10.8","-0.0166","0.08632","-1.22","2.98"
"East Central Australian Shelf","-4e-07","1e-06","-4.6","14.43","-0.01856","0.03473","-2.23","4.39"
"East China Sea","-1.2e-06","5.8e-06","-1.97","13.13","-0.06037","0.23804","-1.25","3.61"
"East Siberian Sea","0e+00","1e-07","2.97","9.81","-0.0036","0.04945","1.79","6.26"
"Faroe Plateau","0e+00","2e-07","-0.99","5.73","-0.00783","0.03655","-0.55","2.63"
"Greenland Sea","0e+00","1e-07","3.5","18.41","-0.00275","0.03957","1.95","11.07"
"Guinea Current","-5e-07","3.8e-06","-0.72","5.33","-0.02117","0.12581","-0.35","1.64"
"Gulf of Alaska","-2e-07","1.5e-06","-1.15","10.28","-0.05779","0.19092","-0.86","3.58"
"Gulf of California","-5e-07","5e-07","-3.01","3.21","-0.02712","0.02054","-0.99","1.04"
"Gulf of Mexico","-2e-07","2.1e-06","-1.94","11.2","-0.00941","0.05944","-0.95","3.45"
"Gulf of Thailand","2e-07","2.1e-06","5.38","15.52","0.00366","0.04019","1.03","2.87"
"Hudson Bay Complex","-1e-07","6e-07","8.34","37.01","-0.03786","0.205","3.25","16.12"
"Humboldt Current","-5e-07","2.4e-06","-1.38","6.46","-0.03623","0.12735","-0.51","2.15"
"Iberian Coastal","0e+00","2e-07","0.15","1.72","0.00062","0.01306","0.05","0.56"
"Iceland Shelf and Sea","0e+00","2e-07","-1.55","5.54","-0.01513","0.04511","-0.78","2.68"
"Indonesian Sea","-6e-07","3.3e-06","-2.98","9.81","-0.02219","0.09132","-1.25","3.32"
"Insular Pacific-Hawaiian","0e+00","1e-07","0.48","2.36","0.0001","0.00192","0.1","0.61"
"Kara Sea","0e+00","1e-07","-3.22","11.96","-0.02163","0.06044","-2.28","7.9"
"Kuroshio Current","-3e-07","1.6e-06","1.58","17.57","-0.03078","0.09166","-0.76","5.44"
"Labrador - Newfoundland","-3e-07","1.2e-06","-4.33","13.72","-0.0788","0.23682","-1.87","5.01"
