"LME","MedianTotalHChange","MedianPercentageHChange","MedianTotalFishChange","MedianPercentageFishChange"
"Agulhas Current","3e-13 (3.3e-12)","1.93 (232.15)","4e-13 (3.6e-12)","1.41 (33.3)"
"Aleutian Islands","1.3e-12 (4.9e-12)","10.52 (355.87)","5e-12 (1.86e-11)","11.06 (68.63)"
"Antarctica","0e+00 (0e+00)","0 (60.21)","0e+00 (8e-13)","0 (28.93)"
"Arabian Sea","0e+00 (6e-13)","1.67 (26.01)","0e+00 (6e-13)","-0.01 (5.11)"
"Baltic Sea","0e+00 (2e-13)","0.25 (27.22)","0e+00 (3e-13)","-0.37 (2.26)"
"Barents Sea","0e+00 (3e-13)","-0.35 (113.19)","-1e-13 (2e-12)","-0.41 (13.67)"
"Bay of Bengal","6e-13 (1.2e-12)","5.36 (145.77)","6e-13 (1.5e-12)","3.4 (22.51)"
"Beaufort Sea","0e+00 (0e+00)","-1.12 (70.24)","-2e-13 (6e-13)","-0.99 (13.39)"
"Benguela Current","0e+00 (3.3e-12)","-1.74 (132.19)","0e+00 (7.1e-12)","-0.77 (49.82)"
"California Current","-1e-13 (2.9e-12)","-0.63 (214.17)","-2e-13 (7.6e-12)","-0.61 (33.65)"
"Canadian Eastern Arctic - West Greenland","0e+00 (3e-13)","-0.79 (67.92)","-1e-13 (2e-12)","-0.52 (10.76)"
"Canary Current","0e+00 (1e-12)","0.28 (201.23)","0e+00 (2.3e-12)","0.18 (37.29)"
"Caribbean Sea","1e-13 (2.5e-12)","0.67 (163.6)","2e-13 (2.1e-12)","1.14 (18.45)"
"Celtic-Biscay Shelf","0e+00 (3.5e-12)","0.87 (249.9)","3e-13 (8.8e-12)","1.29 (33.72)"
"East Bering Sea","0e+00 (2.2e-12)","-0.12 (191.28)","0e+00 (7.6e-12)","0 (35.74)"
"East Brazil Shelf","-4e-13 (2.4e-12)","-2.02 (125.67)","-3e-13 (2.1e-12)","-1.12 (15.99)"
"East Central Australian Shelf","3e-13 (2.3e-12)","1.66 (127.55)","1e-13 (2.7e-12)","0.28 (22.55)"
"East China Sea","1e-13 (5.6e-12)","18.45 (348.31)","5e-13 (7.5e-12)","7.45 (62.37)"
"East Siberian Sea","0e+00 (0e+00)","-0.28 (5.76)","0e+00 (4e-13)","-0.08 (1.94)"
"Faroe Plateau","0e+00 (2e-13)","-0.52 (3.58)","-1e-13 (9e-13)","-0.34 (2.64)"
"Greenland Sea","0e+00 (2e-13)","-1.78 (5.97)","-3e-13 (1.4e-12)","-1.29 (4.67)"
"Guinea Current","5e-13 (1.1e-12)","14.11 (234.1)","6e-13 (2.1e-12)","5.08 (38.57)"
"Gulf of Alaska","0e+00 (4.2e-12)","0.67 (276.32)","4e-13 (1.19e-11)","1 (51.61)"
"Gulf of California","0e+00 (7e-13)","-0.98 (15.75)","0e+00 (1.4e-12)","-0.55 (9.16)"
"Gulf of Mexico","4e-13 (1.9e-12)","3.13 (121.85)","4e-13 (1.7e-12)","1.77 (12.36)"
"Gulf of Thailand","4e-13 (1.7e-12)","19.01 (121.02)","2e-13 (1.6e-12)","1.79 (12.83)"
"Hudson Bay Complex","0e+00 (6e-13)","-1.75 (79.12)","-3e-13 (3.9e-12)","-1.19 (14.91)"
"Humboldt Current","0e+00 (2.7e-12)","1.69 (205.59)","2e-13 (5.9e-12)","1.28 (39.26)"
"Iberian Coastal","0e+00 (1.2e-12)","6.88 (54.08)","3e-13 (3.7e-12)","2.36 (13.28)"
"Iceland Shelf and Sea","0e+00 (2e-13)","-1.57 (3.93)","-3e-13 (1e-12)","-1.38 (3.23)"
"Indonesian Sea","3e-13 (3.6e-12)","4.21 (201.68)","3e-13 (4.6e-12)","2.07 (30.5)"
"Insular Pacific-Hawaiian","0e+00 (3e-13)","0.11 (2.01)","0e+00 (3e-13)","0.06 (1.05)"
"Kara Sea","0e+00 (1e-13)","-1.34 (5.19)","-2e-13 (7e-13)","-0.97 (3.65)"
"Kuroshio Current","1e-12 (3e-12)","11.86 (241.02)","1e-12 (5e-12)","4.94 (35.4)"
"Labrador - Newfoundland","0e+00 (2.9e-12)","-2.36 (246.7)","-1e-13 (1.01e-11)","-1.11 (37.26)"
"Laptev Sea","0e+00 (0e+00)","-0.46 (7.85)","-1e-13 (7e-13)","-0.29 (5.52)"
"Mediterranean Sea","0e+00 (1.4e-12)","0.08 (52.53)","0e+00 (3.3e-12)","-0.05 (17.63)"
"New Zealand Shelf","0e+00 (3.3e-12)","0.16 (149.12)","-2e-13 (7.1e-12)","-0.74 (26.2)"
"North Australian Shelf","0e+00 (1e-12)","3.41 (133.16)","0e+00 (8e-13)","0.22 (9.91)"
"North Brazil Shelf","1.2e-12 (6.2e-12)","76.93 (393.92)","1.3e-12 (5.6e-12)","15.67 (62.9)"
"North Sea","0e+00 (3.5e-12)","2.43 (265.91)","1e-13 (1.08e-11)","1 (51.42)"
"Northeast Australian Shelf","0e+00 (1.7e-12)","1 (137.56)","1e-13 (1.5e-12)","0.51 (12.3)"
