"Stay","N","S","W","E","NW","NE","SW","SE","lon","lat"
0.8684,8e-04,0,0.13,4e-04,4e-04,0,0,0,-179.5,-74.5
0.8824,0,0,0.1176,0,0,0,0,0,-178.5,-74.5
0.8832,0,0,0.1156,0.0012,0,0,0,0,-177.5,-74.5
0.8832,0,0,0.1156,0.0012,0,0,0,0,-176.5,-74.5
0.894,0.004,0,0.1008,0.0012,0,0,0,0,-175.5,-74.5
0.88301282051282,0,0,0.115785256410256,0.00120192307692308,0,0,0,0,-174.5,-74.5
0.8696,4e-04,0,0.1284,0.0016,0,0,0,0,-173.5,-74.5
0.863436123348018,0.00200240288346015,0,0.133760512615138,0.00040048057669203,0.00040048057669203,0,0,0,-172.5,-74.5
0.8688,0,0,0.1296,0.0016,0,0,0,0,-171.5,-74.5
0.89,0,0,0.108,0.002,0,0,0,0,-170.5,-74.5
0.8908,0,0,0.1076,0.0016,0,0,0,0,-169.5,-74.5
0.8868,8e-04,0,0.112,4e-04,0,0,0,0,-168.5,-74.5
0.8692,0.0068,0,0.1228,0,0.0012,0,0,0,-167.5,-74.5
0.858,0.0072,0,0.1332,0,0.0016,0,0,0,-166.5,-74.5
0.8512,0,0,0.148,0,8e-04,0,0,0,-165.5,-74.5
0.8628,0,0,0.1344,0.0028,0,0,0,0,-164.5,-74.5
0.8928,0,0,0.1064,8e-04,0,0,0,0,-163.5,-74.5
0.9048,4e-04,0,0.0948,0,0,0,0,0,-162.5,-74.5
0.883366733466934,0.00200400801603206,0,0.113026052104208,0.00120240480961924,0.000400801603206413,0,0,0,-161.5,-74.5
0.857720291026677,0,0,0.140258690379952,0.00202101859337106,0,0,0,0,-160.5,-74.5
0.848804215646534,0,0,0.151195784353466,0,0,0,0,0,-159.5,-74.5
0.830120481927711,0,0,0.169879518072289,0,0,0,0,0,-158.5,-74.5
0.816465863453815,0,0,0.182329317269076,0.00120481927710843,0,0,0,0,-157.5,-74.5
0.807846277021617,0,0,0.191353082465973,0.000800640512409928,0,0,0,0,-156.5,-74.5
0.798558269923909,0,0,0.201441730076091,0,0,0,0,0,-155.5,-74.5
0.782015254917704,0,0,0.217984745082296,0,0,0,0,0,-154.5,-74.5
0.771152296535052,0,0,0.228847703464948,0,0,0,0,0,-153.5,-74.5
0.756224899598394,0,0,0.243775100401606,0,0,0,0,0,-152.5,-74.5
0.747588424437299,0,0,0.252009646302251,0.000401929260450161,0,0,0,0,-151.5,-74.5
0.744995996797438,0,0,0.254603682946357,0.000400320256204964,0,0,0,0,-150.5,-74.5
0.748192771084337,0,0,0.25140562248996,0.000401606425702811,0,0,0,0,-149.5,-74.5
0.758232931726908,0,0,0.239759036144578,0.00200803212851406,0,0,0,0,-148.5,-74.5
0.766612641815235,0,0,0.23257698541329,0.000810372771474878,0,0,0,0,-147.5,-74.5
0.767545638945233,0,0,0.22920892494929,0.00324543610547667,0,0,0,0,-146.5,-74.5
0.773819055244195,0,0,0.22097678142514,0.00520416333066453,0,0,0,0,-145.5,-74.5
0.806581059390048,0,0,0.184189406099518,0.00922953451043339,0,0,0,0,-144.5,-74.5
0.839177750906892,0,0,0.15235792019347,0.00846432889963724,0,0,0,0,-143.5,-74.5
0.869983948635634,0,0,0.117977528089888,0.0120385232744783,0,0,0,0,-142.5,-74.5
0.897942718838241,0,0,0.0810810810810811,0.0209762000806777,0,0,0,0,-141.5,-74.5
0.914021695460024,0,0,0.0610687022900763,0.0249096022498996,0,0,0,0,-140.5,-74.5
0.93392425463336,0,0,0.0475423045930701,0.0185334407735697,0,0,0,0,-139.5,-74.5
0.937752627324171,0,0,0.0392077607113985,0.0230396119644301,0,0,0,0,-138.5,-74.5
0.926849542809643,0,0,0.0465502909393184,0.0266001662510391,0,0,0,0,-137.5,-74.5
0.898975109809663,0,0,0.0756466569058077,0.025378233284529,0,0,0,0,-136.5,-74.5
0.903661971830986,0,0,0.0788732394366197,0.0174647887323944,0,0,0,0,-135.5,-74.5
0.885714285714286,0,0,0.0885714285714286,0.0257142857142857,0,0,0,0,-134.5,-74.5
0.893483146067416,0,0,0.0826966292134831,0.0238202247191011,0,0,0,0,-133.5,-74.5
0.852727272727273,0.00303030303030303,0,0.133333333333333,0.0109090909090909,0,0,0,0,-132.5,-74.5
0.824516129032258,0,0,0.169032258064516,0.00645161290322581,0,0,0,0,-131.5,-74.5
0.814883720930233,0,0,0.18,0.00511627906976744,0,0,0,0,-130.5,-74.5
0.837777777777778,0,0,0.158666666666667,0.00355555555555556,0,0,0,0,-129.5,-74.5
0.795068493150685,0,0,0.2,0.00493150684931507,0,0,0,0,-128.5,-74.5
0.697272727272727,0,0,0.291818181818182,0.0109090909090909,0,0,0,0,-127.5,-74.5
0.807777777777778,0,0,0.183888888888889,0.00833333333333333,0,0,0,0,-126.5,-74.5
0.725925925925926,0,0,0.265925925925926,0.00814814814814815,0,0,0,0,-125.5,-74.5
0.681818181818182,0,0,0.307272727272727,0.0109090909090909,0,0,0,0,-124.5,-74.5
0.811351351351351,0,0,0.183243243243243,0.00540540540540541,0,0,0,0,-123.5,-74.5
0.641176470588235,0,0,0.352941176470588,0.00588235294117647,0,0,0,0,-122.5,-74.5
0.701666666666667,0,0,0.288333333333333,0.01,0,0,0,0,-121.5,-74.5
0.74875,0,0,0.2425,0.00875,0,0,0,0,-120.5,-74.5
0.758823529411765,0,0,0.234117647058824,0.00705882352941176,0,0,0,0,-119.5,-74.5
0.799166666666667,0.00333333333333333,0,0.195833333333333,0.00166666666666667,0,0,0,0,-118.5,-74.5
0.872820512820513,0,0,0.127179487179487,0,0,0,0,0,-117.5,-74.5
0.945714285714286,0,0,0.0542857142857143,0,0,0,0,0,-116.5,-74.5
0.934074074074074,0,0,0.0659259259259259,0,0,0,0,0,-115.5,-74.5
0.857142857142857,0,0,0.142857142857143,0,0,0,0,0,-114.5,-74.5
0.905185185185185,0.0948148148148148,0,0,0,0,0,0,0,-113.5,-74.5
0.902528735632184,0,0,0.0974712643678161,0,0,0,0,0,-112.5,-74.5
0.721025641025641,0,0,0.278974358974359,0,0,0,0,0,-111.5,-74.5
0.691578947368421,0,0,0.307368421052632,0.00105263157894737,0,0,0,0,-110.5,-74.5
0.826,0,0,0.174,0,0,0,0,0,-109.5,-74.5
0.8152,0,0,0.1844,4e-04,0,0,0,0,-108.5,-74.5
0.8368,0,0,0.1632,0,0,0,0,0,-107.5,-74.5
0.862,0,0,0.1376,4e-04,0,0,0,0,-106.5,-74.5
0.8848,0,0,0.1136,0.0016,0,0,0,0,-105.5,-74.5
0.9088,0,0,0.0888,0.0024,0,0,0,0,-104.5,-74.5
0.920808080808081,0,0,0.0763636363636364,0.00282828282828283,0,0,0,0,-103.5,-74.5
0.938795180722892,0,0,0.0602409638554217,0.000963855421686747,0,0,0,0,-102.5,-74.5
0.886,0,0,0.114,0,0,0,0,0,-101.5,-74.5
0.937777777777778,0,0,0.0622222222222222,0,0,0,0,0,-100.5,-74.5
1,0,0,0,0,0,0,0,0,-82.5,-74.5
0.958567415730337,0,0,0,0.0414325842696629,0,0,0,0,-61.5,-74.5
0.93010101010101,0.00323232323232323,0,0.0395959595959596,0.0270707070707071,0,0,0,0,-60.5,-74.5
0.958,0.0188,0,0.0116,0.0116,0,0,0,0,-59.5,-74.5
0.953319919517103,0.0100603621730382,0,0.0108651911468813,0.0253521126760563,0.000402414486921529,0,0,0,-58.5,-74.5
0.95,0.006,0,0.0184,0.0256,0,0,0,0,-57.5,-74.5
0.936,0.014,0,0.0248,0.0224,0.0028,0,0,0,-56.5,-74.5
0.9224,0.0084,0,0.0464,0.0192,0.0036,0,0,0,-55.5,-74.5
0.9228,0.0016,0,0.0488,0.0244,0.0024,0,0,0,-54.5,-74.5
0.9276,0.0048,0,0.048,0.018,0.0016,0,0,0,-53.5,-74.5
0.9352,8e-04,0,0.0508,0.0128,4e-04,0,0,0,-52.5,-74.5
0.9304,0,0,0.0408,0.0288,0,0,0,0,-51.5,-74.5
0.912,4e-04,0,0.0536,0.034,0,0,0,0,-50.5,-74.5
0.9032,0,0,0.0616,0.0352,0,0,0,0,-49.5,-74.5
0.919903884661594,0,0,0.0560672807368843,0.0240288346015218,0,0,0,0,-48.5,-74.5
0.914365746298519,0,0,0.0496198479391757,0.0360144057623049,0,0,0,0,-47.5,-74.5
0.908651911468813,0,0,0.0659959758551308,0.0253521126760563,0,0,0,0,-46.5,-74.5
0.928080808080808,0.00363636363636364,0,0.0581818181818182,0.0101010101010101,0,0,0,0,-45.5,-74.5
0.914273995077933,0,0,0.0701394585726005,0.0155865463494668,0,0,0,0,-44.5,-74.5
0.898058252427185,0,0,0.0699838187702265,0.031957928802589,0,0,0,0,-43.5,-74.5
0.894927536231884,0,0,0.0732689210950081,0.0318035426731079,0,0,0,0,-42.5,-74.5
0.8728,0,0,0.086,0.0412,0,0,0,0,-41.5,-74.5
0.869407496977025,0,0,0.102781136638452,0.0278113663845224,0,0,0,0,-40.5,-74.5
0.882186234817814,0,0,0.0935222672064777,0.0242914979757085,0,0,0,0,-39.5,-74.5
0.854098360655738,0,0,0.0979508196721312,0.0479508196721311,0,0,0,0,-38.5,-74.5
0.819975835682642,0,0,0.121224325412807,0.0587998389045509,0,0,0,0,-37.5,-74.5
0.81255028157683,0,0,0.129525341914722,0.0579243765084473,0,0,0,0,-36.5,-74.5
0.8276,0,0,0.1108,0.0616,0,0,0,0,-35.5,-74.5
0.843875100080064,0,0,0.0960768614891914,0.0600480384307446,0,0,0,0,-34.5,-74.5
0.863782051282051,0,0,0.0845352564102564,0.0516826923076923,0,0,0,0,-33.5,-74.5
0.868537074148297,0.00120240480961924,0,0.068937875751503,0.0613226452905812,0,0,0,0,-32.5,-74.5
0.875956504228755,0.00120821586790173,0,0.058397100281917,0.0636327023761579,0.000402738622633911,0.000402738622633911,0,0,-31.5,-74.5
0.849494097807757,0,0,0.0645025295109612,0.0860033726812816,0,0,0,0,-30.5,-74.5
0.8375,0.00282258064516129,0,0.0830645161290323,0.0741935483870968,0,0.00241935483870968,0,0,-29.5,-74.5
0.887672343876723,0.0040551500405515,0,0.078264395782644,0.0300081103000811,0,0,0,0,-28.5,-74.5
0.90183299389002,0,0,0.0859470468431772,0.0122199592668024,0,0,0,0,-27.5,-74.5
0.908264462809917,0,0,0.0847107438016529,0.00702479338842975,0,0,0,0,-26.5,-74.5
0.902626262626263,0,0,0.0678787878787879,0.0294949494949495,0,0,0,0,-25.5,-74.5
0.819136051675414,0,0,0.0767056923698022,0.104158255954784,0,0,0,0,-24.5,-74.5
0.907986111111111,0,0,0.0533854166666667,0.0386284722222222,0,0,0,0,-23.5,-74.5
0.927174365376613,0,0,0.0478568456096546,0.0249687890137328,0,0,0,0,-22.5,-74.5
0.940779220779221,0,0,0.0550649350649351,0.00415584415584416,0,0,0,0,-21.5,-74.5
0.914822266934943,0,0,0.085177733065057,0,0,0,0,0,-20.5,-74.5
0.931172468987595,0,0,0.0604241696678672,0.00840336134453781,0,0,0,0,-19.5,-74.5
0.911970382558618,0,0,0.0880296174413821,0,0,0,0,0,-18.5,-74.5
